"trainer/global_step","linear-lr001-d64 - _step","linear-lr001-d64 - _step__MIN","linear-lr001-d64 - _step__MAX","linear-lr001-d64 - val_loss","linear-lr001-d64 - val_loss__MIN","linear-lr001-d64 - val_loss__MAX","linear-lr001-d56 - _step","linear-lr001-d56 - _step__MIN","linear-lr001-d56 - _step__MAX","linear-lr001-d56 - val_loss","linear-lr001-d56 - val_loss__MIN","linear-lr001-d56 - val_loss__MAX","linear-lr001-d48 - _step","linear-lr001-d48 - _step__MIN","linear-lr001-d48 - _step__MAX","linear-lr001-d48 - val_loss","linear-lr001-d48 - val_loss__MIN","linear-lr001-d48 - val_loss__MAX","linear-lr001-d40 - _step","linear-lr001-d40 - _step__MIN","linear-lr001-d40 - _step__MAX","linear-lr001-d40 - val_loss","linear-lr001-d40 - val_loss__MIN","linear-lr001-d40 - val_loss__MAX","linear-lr001-d32 - _step","linear-lr001-d32 - _step__MIN","linear-lr001-d32 - _step__MAX","linear-lr001-d32 - val_loss","linear-lr001-d32 - val_loss__MIN","linear-lr001-d32 - val_loss__MAX","linear-lr001-d24 - _step","linear-lr001-d24 - _step__MIN","linear-lr001-d24 - _step__MAX","linear-lr001-d24 - val_loss","linear-lr001-d24 - val_loss__MIN","linear-lr001-d24 - val_loss__MAX","linear-lr001-d16 - _step","linear-lr001-d16 - _step__MIN","linear-lr001-d16 - _step__MAX","linear-lr001-d16 - val_loss","linear-lr001-d16 - val_loss__MIN","linear-lr001-d16 - val_loss__MAX","linear-lr001 - _step","linear-lr001 - _step__MIN","linear-lr001 - _step__MAX","linear-lr001 - val_loss","linear-lr001 - val_loss__MIN","linear-lr001 - val_loss__MAX"
"352","35","35","35","0.12171175330877304","0.12171175330877304","0.12171175330877304","35","35","35","0.12494394928216934","0.12494394928216934","0.12494394928216934","35","35","35","0.1264052391052246","0.1264052391052246","0.1264052391052246","14","14","14","0.1263578087091446","0.1263578087091446","0.1263578087091446","14","14","14","0.1253812611103058","0.1253812611103058","0.1253812611103058","14","14","14","0.13085047900676727","0.13085047900676727","0.13085047900676727","14","14","14","0.1315482258796692","0.1315482258796692","0.1315482258796692","14","14","14","0.14123551547527313","0.14123551547527313","0.14123551547527313"
"705","71","71","71","0.09708064794540405","0.09708064794540405","0.09708064794540405","71","71","71","0.0994056761264801","0.0994056761264801","0.0994056761264801","71","71","71","0.10387261211872101","0.10387261211872101","0.10387261211872101","29","29","29","0.10255694389343262","0.10255694389343262","0.10255694389343262","29","29","29","0.10552097111940384","0.10552097111940384","0.10552097111940384","29","29","29","0.10559777915477753","0.10559777915477753","0.10559777915477753","29","29","29","0.11181582510471344","0.11181582510471344","0.11181582510471344","29","29","29","0.13242511451244354","0.13242511451244354","0.13242511451244354"
"1058","107","107","107","0.08827544748783112","0.08827544748783112","0.08827544748783112","107","107","107","0.09107057750225067","0.09107057750225067","0.09107057750225067","107","107","107","0.0896560326218605","0.0896560326218605","0.0896560326218605","44","44","44","0.0923844501376152","0.0923844501376152","0.0923844501376152","44","44","44","0.09284605830907822","0.09284605830907822","0.09284605830907822","44","44","44","0.09691441059112549","0.09691441059112549","0.09691441059112549","44","44","44","0.10589613020420074","0.10589613020420074","0.10589613020420074","44","44","44","0.12964801490306854","0.12964801490306854","0.12964801490306854"
"1411","144","144","144","0.08171050995588303","0.08171050995588303","0.08171050995588303","144","144","144","0.08202815055847168","0.08202815055847168","0.08202815055847168","144","144","144","0.08478954434394836","0.08478954434394836","0.08478954434394836","59","59","59","0.08620477467775345","0.08620477467775345","0.08620477467775345","59","59","59","0.08696416765451431","0.08696416765451431","0.08696416765451431","59","59","59","0.0905425101518631","0.0905425101518631","0.0905425101518631","59","59","59","0.10346578806638718","0.10346578806638718","0.10346578806638718","59","59","59","0.1281830221414566","0.1281830221414566","0.1281830221414566"
"1764","180","180","180","0.07733204960823059","0.07733204960823059","0.07733204960823059","180","180","180","0.07747272402048111","0.07747272402048111","0.07747272402048111","180","180","180","0.08007153123617172","0.08007153123617172","0.08007153123617172","74","74","74","0.08431758731603622","0.08431758731603622","0.08431758731603622","74","74","74","0.08302716910839081","0.08302716910839081","0.08302716910839081","74","74","74","0.08764462172985077","0.08764462172985077","0.08764462172985077","74","74","74","0.10128748416900635","0.10128748416900635","0.10128748416900635","74","74","74","0.12719617784023285","0.12719617784023285","0.12719617784023285"
"2117","216","216","216","0.07417680323123932","0.07417680323123932","0.07417680323123932","216","216","216","0.07389736920595169","0.07389736920595169","0.07389736920595169","216","216","216","0.07711058109998703","0.07711058109998703","0.07711058109998703","89","89","89","0.07785262167453766","0.07785262167453766","0.07785262167453766","89","89","89","0.08028601109981537","0.08028601109981537","0.08028601109981537","89","89","89","0.0856059193611145","0.0856059193611145","0.0856059193611145","89","89","89","0.0998622253537178","0.0998622253537178","0.0998622253537178","89","89","89","0.12630780041217804","0.12630780041217804","0.12630780041217804"
"2470","253","253","253","0.07165762037038803","0.07165762037038803","0.07165762037038803","253","253","253","0.0711173489689827","0.0711173489689827","0.0711173489689827","253","253","253","0.07444312423467636","0.07444312423467636","0.07444312423467636","104","104","104","0.07606483995914459","0.07606483995914459","0.07606483995914459","104","104","104","0.07851070910692215","0.07851070910692215","0.07851070910692215","104","104","104","0.08476274460554123","0.08476274460554123","0.08476274460554123","104","104","104","0.0998743399977684","0.0998743399977684","0.0998743399977684","104","104","104","0.12555067241191864","0.12555067241191864","0.12555067241191864"
"2823","289","289","289","0.06990700960159302","0.06990700960159302","0.06990700960159302","289","289","289","0.06867498904466629","0.06867498904466629","0.06867498904466629","289","289","289","0.07333652675151825","0.07333652675151825","0.07333652675151825","119","119","119","0.07440852373838425","0.07440852373838425","0.07440852373838425","119","119","119","0.07748997956514359","0.07748997956514359","0.07748997956514359","119","119","119","0.08446066826581955","0.08446066826581955","0.08446066826581955","119","119","119","0.09856938570737839","0.09856938570737839","0.09856938570737839","119","119","119","0.12484963983297348","0.12484963983297348","0.12484963983297348"
"3176","325","325","325","0.06784562766551971","0.06784562766551971","0.06784562766551971","325","325","325","0.06699071079492569","0.06699071079492569","0.06699071079492569","325","325","325","0.0715622678399086","0.0715622678399086","0.0715622678399086","135","135","135","0.0727018415927887","0.0727018415927887","0.0727018415927887","135","135","135","0.07531534135341644","0.07531534135341644","0.07531534135341644","135","135","135","0.0837714672088623","0.0837714672088623","0.0837714672088623","135","135","135","0.09809253364801407","0.09809253364801407","0.09809253364801407","135","135","135","0.12427257746458054","0.12427257746458054","0.12427257746458054"
"3529","362","362","362","0.06725244969129562","0.06725244969129562","0.06725244969129562","362","362","362","0.06512830406427383","0.06512830406427383","0.06512830406427383","362","362","362","0.0700482502579689","0.0700482502579689","0.0700482502579689","150","150","150","0.07169018685817719","0.07169018685817719","0.07169018685817719","150","150","150","0.07456769049167633","0.07456769049167633","0.07456769049167633","150","150","150","0.08296038210391998","0.08296038210391998","0.08296038210391998","150","150","150","0.09738218039274216","0.09738218039274216","0.09738218039274216","150","150","150","0.12365353852510452","0.12365353852510452","0.12365353852510452"
"3882","398","398","398","0.06510794162750244","0.06510794162750244","0.06510794162750244","398","398","398","0.06368225812911987","0.06368225812911987","0.06368225812911987","398","398","398","0.06786563247442245","0.06786563247442245","0.06786563247442245","165","165","165","0.06889127194881439","0.06889127194881439","0.06889127194881439","165","165","165","0.07245489209890366","0.07245489209890366","0.07245489209890366","165","165","165","0.08271820843219757","0.08271820843219757","0.08271820843219757","165","165","165","0.09708303213119507","0.09708303213119507","0.09708303213119507","165","165","165","0.12338408827781677","0.12338408827781677","0.12338408827781677"
"4235","434","434","434","0.06795348972082138","0.06795348972082138","0.06795348972082138","434","434","434","0.06263414025306702","0.06263414025306702","0.06263414025306702","434","434","434","0.06595974415540695","0.06595974415540695","0.06595974415540695","180","180","180","0.06809297949075699","0.06809297949075699","0.06809297949075699","180","180","180","0.07500376552343369","0.07500376552343369","0.07500376552343369","180","180","180","0.08287226408720016","0.08287226408720016","0.08287226408720016","180","180","180","0.09675753116607666","0.09675753116607666","0.09675753116607666","180","180","180","0.12323867529630661","0.12323867529630661","0.12323867529630661"
"4588","470","470","470","0.06340301781892776","0.06340301781892776","0.06340301781892776","470","470","470","0.06194736436009407","0.06194736436009407","0.06194736436009407","470","470","470","0.06501679867506027","0.06501679867506027","0.06501679867506027","195","195","195","0.0672006905078888","0.0672006905078888","0.0672006905078888","195","195","195","0.07100576162338257","0.07100576162338257","0.07100576162338257","195","195","195","0.08218637853860855","0.08218637853860855","0.08218637853860855","195","195","195","0.09625760465860367","0.09625760465860367","0.09625760465860367","195","195","195","0.12257207930088043","0.12257207930088043","0.12257207930088043"
"4941","507","507","507","0.06376636773347855","0.06376636773347855","0.06376636773347855","507","507","507","0.06073432043194771","0.06073432043194771","0.06073432043194771","507","507","507","0.0648147463798523","0.0648147463798523","0.0648147463798523","210","210","210","0.06672131270170212","0.06672131270170212","0.06672131270170212","210","210","210","0.07116038352251053","0.07116038352251053","0.07116038352251053","210","210","210","0.08134070783853531","0.08134070783853531","0.08134070783853531","210","210","210","0.09597994387149811","0.09597994387149811","0.09597994387149811","210","210","210","0.12237832695245743","0.12237832695245743","0.12237832695245743"
"5294","543","543","543","0.061542611569166183","0.061542611569166183","0.061542611569166183","543","543","543","0.0622006319463253","0.0622006319463253","0.0622006319463253","543","543","543","0.06397560238838196","0.06397560238838196","0.06397560238838196","225","225","225","0.065850630402565","0.065850630402565","0.065850630402565","225","225","225","0.07058168202638626","0.07058168202638626","0.07058168202638626","225","225","225","0.08163217455148697","0.08163217455148697","0.08163217455148697","225","225","225","0.09587990492582321","0.09587990492582321","0.09587990492582321","225","225","225","0.12234847992658615","0.12234847992658615","0.12234847992658615"
"5647","579","579","579","0.06090807914733887","0.06090807914733887","0.06090807914733887","579","579","579","0.05902814492583275","0.05902814492583275","0.05902814492583275","579","579","579","0.06329989433288574","0.06329989433288574","0.06329989433288574","240","240","240","0.06528118997812271","0.06528118997812271","0.06528118997812271","240","240","240","0.07032712548971176","0.07032712548971176","0.07032712548971176","240","240","240","0.08078807592391968","0.08078807592391968","0.08078807592391968","240","240","240","0.09564345329999924","0.09564345329999924","0.09564345329999924","240","240","240","0.12182784825563431","0.12182784825563431","0.12182784825563431"
"6000","616","616","616","0.0632990151643753","0.0632990151643753","0.0632990151643753","616","616","616","0.05850527435541153","0.05850527435541153","0.05850527435541153","616","616","616","0.06275761872529984","0.06275761872529984","0.06275761872529984","256","256","256","0.06461507827043533","0.06461507827043533","0.06461507827043533","256","256","256","0.07017449289560318","0.07017449289560318","0.07017449289560318","256","256","256","0.08069056272506714","0.08069056272506714","0.08069056272506714","256","256","256","0.09547936916351318","0.09547936916351318","0.09547936916351318","256","256","256","0.12175634503364563","0.12175634503364563","0.12175634503364563"
"6353","652","652","652","0.05930735915899277","0.05930735915899277","0.05930735915899277","652","652","652","0.05810898169875145","0.05810898169875145","0.05810898169875145","652","652","652","0.06242392957210541","0.06242392957210541","0.06242392957210541","271","271","271","0.06390057504177094","0.06390057504177094","0.06390057504177094","271","271","271","0.07005748152732849","0.07005748152732849","0.07005748152732849","271","271","271","0.08047754317522049","0.08047754317522049","0.08047754317522049","271","271","271","0.09528695046901703","0.09528695046901703","0.09528695046901703","271","271","271","0.1215248852968216","0.1215248852968216","0.1215248852968216"
"6706","688","688","688","0.059356722980737686","0.059356722980737686","0.059356722980737686","688","688","688","0.057671014219522476","0.057671014219522476","0.057671014219522476","688","688","688","0.06189548969268799","0.06189548969268799","0.06189548969268799","286","286","286","0.06345435976982117","0.06345435976982117","0.06345435976982117","286","286","286","0.07004003971815109","0.07004003971815109","0.07004003971815109","286","286","286","0.08132941275835037","0.08132941275835037","0.08132941275835037","286","286","286","0.09503159672021866","0.09503159672021866","0.09503159672021866","286","286","286","0.12139837443828583","0.12139837443828583","0.12139837443828583"
"7059","725","725","725","0.05870751291513443","0.05870751291513443","0.05870751291513443","725","725","725","0.057328615337610245","0.057328615337610245","0.057328615337610245","725","725","725","0.060953523963689804","0.060953523963689804","0.060953523963689804","301","301","301","0.06308519095182419","0.06308519095182419","0.06308519095182419","301","301","301","0.06973478198051453","0.06973478198051453","0.06973478198051453","301","301","301","0.07992804050445557","0.07992804050445557","0.07992804050445557","301","301","301","0.0948084220290184","0.0948084220290184","0.0948084220290184","301","301","301","0.12120576202869415","0.12120576202869415","0.12120576202869415"
"7412","","","","","","","","","","","","","","","","","","","316","316","316","0.06316310912370682","0.06316310912370682","0.06316310912370682","316","316","316","0.0697023794054985","0.0697023794054985","0.0697023794054985","316","316","316","0.07976074516773224","0.07976074516773224","0.07976074516773224","316","316","316","0.09481748193502426","0.09481748193502426","0.09481748193502426","316","316","316","0.12105683237314224","0.12105683237314224","0.12105683237314224"
"7765","","","","","","","","","","","","","","","","","","","331","331","331","0.06224352493882179","0.06224352493882179","0.06224352493882179","331","331","331","0.07015987485647202","0.07015987485647202","0.07015987485647202","331","331","331","0.07959358394145966","0.07959358394145966","0.07959358394145966","331","331","331","0.09477390348911285","0.09477390348911285","0.09477390348911285","331","331","331","0.12092450261116028","0.12092450261116028","0.12092450261116028"
"8118","","","","","","","","","","","","","","","","","","","346","346","346","0.06214110180735588","0.06214110180735588","0.06214110180735588","346","346","346","0.06953266263008118","0.06953266263008118","0.06953266263008118","346","346","346","0.07961622625589371","0.07961622625589371","0.07961622625589371","346","346","346","0.09465379267930984","0.09465379267930984","0.09465379267930984","346","346","346","0.1214747354388237","0.1214747354388237","0.1214747354388237"
"8471","","","","","","","","","","","","","","","","","","","361","361","361","0.061918433755636215","0.061918433755636215","0.061918433755636215","361","361","361","0.06953977048397064","0.06953977048397064","0.06953977048397064","361","361","361","0.0794103667140007","0.0794103667140007","0.0794103667140007","361","361","361","0.09445440024137497","0.09445440024137497","0.09445440024137497","361","361","361","0.12069021165370941","0.12069021165370941","0.12069021165370941"
"8824","","","","","","","","","","","","","","","","","","","377","377","377","0.061836276203393936","0.061836276203393936","0.061836276203393936","377","377","377","0.0695134699344635","0.0695134699344635","0.0695134699344635","377","377","377","0.0793510377407074","0.0793510377407074","0.0793510377407074","377","377","377","0.09435530006885529","0.09435530006885529","0.09435530006885529","377","377","377","0.12093803286552429","0.12093803286552429","0.12093803286552429"
"9177","","","","","","","","","","","","","","","","","","","392","392","392","0.06321672350168228","0.06321672350168228","0.06321672350168228","392","392","392","0.07013764977455139","0.07013764977455139","0.07013764977455139","392","392","392","0.07924775034189224","0.07924775034189224","0.07924775034189224","392","392","392","0.09487428516149521","0.09487428516149521","0.09487428516149521","392","392","392","0.12062482535839081","0.12062482535839081","0.12062482535839081"
"9530","","","","","","","","","","","","","","","","","","","407","407","407","0.06269555538892746","0.06269555538892746","0.06269555538892746","407","407","407","0.06975913047790527","0.06975913047790527","0.06975913047790527","407","407","407","0.08007361739873886","0.08007361739873886","0.08007361739873886","407","407","407","0.09425527602434158","0.09425527602434158","0.09425527602434158","407","407","407","0.12047713249921799","0.12047713249921799","0.12047713249921799"
"9883","","","","","","","","","","","","","","","","","","","422","422","422","0.06162857264280319","0.06162857264280319","0.06162857264280319","422","422","422","0.0693722665309906","0.0693722665309906","0.0693722665309906","422","422","422","0.07925399392843246","0.07925399392843246","0.07925399392843246","422","422","422","0.09414292871952057","0.09414292871952057","0.09414292871952057","422","422","422","0.12120522558689117","0.12120522558689117","0.12120522558689117"
"10236","","","","","","","","","","","","","","","","","","","437","437","437","0.06381653249263763","0.06381653249263763","0.06381653249263763","437","437","437","0.0694303810596466","0.0694303810596466","0.0694303810596466","437","437","437","0.07908309251070023","0.07908309251070023","0.07908309251070023","437","437","437","0.094188392162323","0.094188392162323","0.094188392162323","437","437","437","0.12016873806715012","0.12016873806715012","0.12016873806715012"
"10589","","","","","","","","","","","","","","","","","","","452","452","452","0.06166757270693779","0.06166757270693779","0.06166757270693779","452","452","452","0.07073067873716354","0.07073067873716354","0.07073067873716354","452","452","452","0.07890266925096512","0.07890266925096512","0.07890266925096512","452","452","452","0.09435001015663147","0.09435001015663147","0.09435001015663147","452","452","452","0.12011810392141342","0.12011810392141342","0.12011810392141342"
"10942","","","","","","","","","","","","","","","","","","","467","467","467","0.06142628192901611","0.06142628192901611","0.06142628192901611","467","467","467","0.06928910315036774","0.06928910315036774","0.06928910315036774","467","467","467","0.07887552678585052","0.07887552678585052","0.07887552678585052","467","467","467","0.09485587477684021","0.09485587477684021","0.09485587477684021","467","467","467","0.1200663298368454","0.1200663298368454","0.1200663298368454"
"11295","","","","","","","","","","","","","","","","","","","482","482","482","0.06130443513393402","0.06130443513393402","0.06130443513393402","482","482","482","0.06938914954662323","0.06938914954662323","0.06938914954662323","482","482","482","0.07881849259138107","0.07881849259138107","0.07881849259138107","482","482","482","0.09399322420358658","0.09399322420358658","0.09399322420358658","482","482","482","0.120069220662117","0.120069220662117","0.120069220662117"
"11648","","","","","","","","","","","","","","","","","","","497","497","497","0.061919063329696655","0.061919063329696655","0.061919063329696655","497","497","497","0.06922121345996857","0.06922121345996857","0.06922121345996857","497","497","497","0.07954713702201843","0.07954713702201843","0.07954713702201843","497","497","497","0.09393768757581711","0.09393768757581711","0.09393768757581711","497","497","497","0.11981550604104996","0.11981550604104996","0.11981550604104996"
"12001","","","","","","","","","","","","","","","","","","","513","513","513","0.061185598373413086","0.061185598373413086","0.061185598373413086","513","513","513","0.06922972947359085","0.06922972947359085","0.06922972947359085","513","513","513","0.080181784927845","0.080181784927845","0.080181784927845","513","513","513","0.09383536130189896","0.09383536130189896","0.09383536130189896","513","513","513","0.1199406087398529","0.1199406087398529","0.1199406087398529"
"12354","","","","","","","","","","","","","","","","","","","528","528","528","0.06113656610250473","0.06113656610250473","0.06113656610250473","528","528","528","0.06922422349452972","0.06922422349452972","0.06922422349452972","528","528","528","0.07893300801515579","0.07893300801515579","0.07893300801515579","528","528","528","0.09386587142944336","0.09386587142944336","0.09386587142944336","528","528","528","0.11980850994586945","0.11980850994586945","0.11980850994586945"
"12707","","","","","","","","","","","","","","","","","","","543","543","543","0.06107145547866821","0.06107145547866821","0.06107145547866821","543","543","543","0.06922540813684464","0.06922540813684464","0.06922540813684464","543","543","543","0.0787602886557579","0.0787602886557579","0.0787602886557579","543","543","543","0.09405647963285446","0.09405647963285446","0.09405647963285446","543","543","543","0.11965322494506836","0.11965322494506836","0.11965322494506836"
"13060","","","","","","","","","","","","","","","","","","","558","558","558","0.061019185930490494","0.061019185930490494","0.061019185930490494","558","558","558","0.06921347230672836","0.06921347230672836","0.06921347230672836","558","558","558","0.07883000373840332","0.07883000373840332","0.07883000373840332","558","558","558","0.09388401359319687","0.09388401359319687","0.09388401359319687","558","558","558","0.1195351779460907","0.1195351779460907","0.1195351779460907"
"13413","","","","","","","","","","","","","","","","","","","573","573","573","0.06098710373044014","0.06098710373044014","0.06098710373044014","573","573","573","0.06918183714151382","0.06918183714151382","0.06918183714151382","573","573","573","0.07876764237880707","0.07876764237880707","0.07876764237880707","573","573","573","0.09368298947811127","0.09368298947811127","0.09368298947811127","573","573","573","0.11961974948644638","0.11961974948644638","0.11961974948644638"
"13766","","","","","","","","","","","","","","","","","","","588","588","588","0.06136845052242279","0.06136845052242279","0.06136845052242279","588","588","588","0.06924955546855927","0.06924955546855927","0.06924955546855927","588","588","588","0.07889869064092636","0.07889869064092636","0.07889869064092636","588","588","588","0.09360943734645844","0.09360943734645844","0.09360943734645844","588","588","588","0.11934716254472733","0.11934716254472733","0.11934716254472733"
"14119","","","","","","","","","","","","","","","","","","","603","603","603","0.06086856871843338","0.06086856871843338","0.06086856871843338","603","603","603","0.06923671811819077","0.06923671811819077","0.06923671811819077","603","603","603","0.07961312681436539","0.07961312681436539","0.07961312681436539","603","603","603","0.09410000592470169","0.09410000592470169","0.09410000592470169","603","603","603","0.11927798390388489","0.11927798390388489","0.11927798390388489"
"14472","","","","","","","","","","","","","","","","","","","618","618","618","0.0614822693169117","0.0614822693169117","0.0614822693169117","618","618","618","0.06962928175926208","0.06962928175926208","0.06962928175926208","618","618","618","0.07863122969865799","0.07863122969865799","0.07863122969865799","618","618","618","0.09346453845500946","0.09346453845500946","0.09346453845500946","618","618","618","0.11938931792974472","0.11938931792974472","0.11938931792974472"
"14825","","","","","","","","","","","","","","","","","","","634","634","634","0.060912005603313446","0.060912005603313446","0.060912005603313446","634","634","634","0.069139264523983","0.069139264523983","0.069139264523983","634","634","634","0.07867752015590668","0.07867752015590668","0.07867752015590668","634","634","634","0.09339859336614609","0.09339859336614609","0.09339859336614609","634","634","634","0.11918807029724121","0.11918807029724121","0.11918807029724121"
"15178","","","","","","","","","","","","","","","","","","","649","649","649","0.06100793555378914","0.06100793555378914","0.06100793555378914","649","649","649","0.0691315159201622","0.0691315159201622","0.0691315159201622","649","649","649","0.07855144888162613","0.07855144888162613","0.07855144888162613","649","649","649","0.09320756047964096","0.09320756047964096","0.09320756047964096","649","649","649","0.11944924294948578","0.11944924294948578","0.11944924294948578"
"15531","","","","","","","","","","","","","","","","","","","664","664","664","0.06072574481368065","0.06072574481368065","0.06072574481368065","664","664","664","0.06917586177587509","0.06917586177587509","0.06917586177587509","664","664","664","0.0785193219780922","0.0785193219780922","0.0785193219780922","664","664","664","0.09347959607839584","0.09347959607839584","0.09347959607839584","664","664","664","0.11910303682088852","0.11910303682088852","0.11910303682088852"
"15884","","","","","","","","","","","","","","","","","","","679","679","679","0.06068845093250275","0.06068845093250275","0.06068845093250275","679","679","679","0.06924845278263092","0.06924845278263092","0.06924845278263092","679","679","679","0.07860765606164932","0.07860765606164932","0.07860765606164932","679","679","679","0.09292521327733994","0.09292521327733994","0.09292521327733994","679","679","679","0.11894533038139343","0.11894533038139343","0.11894533038139343"
"16237","","","","","","","","","","","","","","","","","","","694","694","694","0.06059296429157257","0.06059296429157257","0.06059296429157257","694","694","694","0.07177754491567612","0.07177754491567612","0.07177754491567612","694","694","694","0.07898414134979248","0.07898414134979248","0.07898414134979248","694","694","694","0.09323578327894211","0.09323578327894211","0.09323578327894211","694","694","694","0.11904263496398926","0.11904263496398926","0.11904263496398926"
"16590","","","","","","","","","","","","","","","","","","","709","709","709","0.06049656495451927","0.06049656495451927","0.06049656495451927","709","709","709","0.07036659866571426","0.07036659866571426","0.07036659866571426","709","709","709","0.07839877158403397","0.07839877158403397","0.07839877158403397","709","709","709","0.09286290407180786","0.09286290407180786","0.09286290407180786","709","709","709","0.11889989674091339","0.11889989674091339","0.11889989674091339"
"16943","","","","","","","","","","","","","","","","","","","724","724","724","0.06376927345991135","0.06376927345991135","0.06376927345991135","724","724","724","0.06926842778921127","0.06926842778921127","0.06926842778921127","724","724","724","0.079035684466362","0.079035684466362","0.079035684466362","724","724","724","0.09272339940071106","0.09272339940071106","0.09272339940071106","724","724","724","0.11879238486289978","0.11879238486289978","0.11879238486289978"
"17296","","","","","","","","","","","","","","","","","","","739","739","739","0.060162417590618134","0.060162417590618134","0.060162417590618134","739","739","739","0.06911760568618774","0.06911760568618774","0.06911760568618774","739","739","739","0.07842201739549637","0.07842201739549637","0.07842201739549637","739","739","739","0.09264353662729263","0.09264353662729263","0.09264353662729263","739","739","739","0.11876832693815231","0.11876832693815231","0.11876832693815231"
"17649","","","","","","","","","","","","","","","","","","","755","755","755","0.06074005365371704","0.06074005365371704","0.06074005365371704","755","755","755","0.06981949508190155","0.06981949508190155","0.06981949508190155","755","755","755","0.07832299917936325","0.07832299917936325","0.07832299917936325","755","755","755","0.09257952123880386","0.09257952123880386","0.09257952123880386","755","755","755","0.11865047365427017","0.11865047365427017","0.11865047365427017"